,WQI_predict_range,True_WQI_range
75,0,0
1282,1,1
408,0,0
1064,1,1
1032,0,0
1142,1,1
625,2,0
181,0,0
1179,1,1
1568,2,2
1156,1,1
248,0,0
525,1,0
654,0,0
292,1,0
60,1,1
579,1,1
1591,0,0
790,0,0
1365,1,1
1199,1,1
1048,0,0
194,0,0
563,0,0
688,0,0
1323,1,1
301,2,0
990,2,3
574,1,1
1080,0,0
351,0,0
587,1,1
321,0,1
1301,0,0
968,0,0
1027,0,0
1595,0,0
8,2,1
909,1,1
158,1,1
1333,1,1
885,1,1
620,1,1
1044,1,0
512,0,0
719,0,1
443,0,0
1252,0,0
107,1,1
1059,0,0
201,0,0
1079,0,0
857,0,0
636,0,0
592,1,1
1317,0,0
241,0,0
789,1,1
1368,0,0
111,1,0
353,0,0
1485,1,1
643,0,0
108,2,2
635,0,0
177,1,1
868,2,2
1443,0,0
698,0,0
1357,0,0
1550,1,1
1157,1,1
1029,0,0
1129,1,1
65,0,0
1518,1,1
1574,2,2
991,2,2
851,1,1
1273,0,0
571,0,0
692,0,0
593,2,2
598,0,1
1291,0,0
190,1,1
53,2,3
531,0,0
1030,0,0
382,0,0
1388,0,0
1476,0,0
1332,1,1
623,2,0
1163,0,0
528,1,1
1374,1,1
1123,1,1
1471,0,0
679,0,0
1117,1,1
48,1,2
1112,1,1
1176,1,1
1547,1,1
929,1,1
1226,2,2
1430,0,0
1433,0,0
91,0,0
1309,1,1
757,1,1
671,0,0
496,0,0
529,1,1
1158,1,1
816,0,0
733,2,2
30,1,0
979,1,1
1508,1,1
951,1,1
1341,1,1
1043,1,0
428,0,0
202,0,0
286,2,0
785,0,0
1274,1,1
37,1,1
874,1,2
1401,0,0
1322,1,1
255,0,0
418,0,0
288,1,1
422,0,0
1008,1,1
1553,2,2
1083,0,0
759,0,0
866,0,0
776,1,1
80,1,1
401,0,0
372,0,0
101,1,0
304,0,0
275,0,0
1074,1,1
1257,0,0
1229,2,2
1022,1,1
102,1,1
264,0,0
442,0,0
737,1,1
1102,1,1
1181,1,1
268,0,0
494,0,0
987,1,1
299,1,2
596,1,1
1241,1,1
1144,2,1
478,1,0
414,0,0
1304,1,2
978,1,1
495,0,0
916,1,0
925,1,1
1243,1,1
1497,1,1
223,1,1
1210,0,0
1392,1,1
285,1,1
535,1,1
750,1,1
1272,1,1
1359,0,0
613,1,1
1060,1,1
1015,1,1
521,1,1
231,0,1
559,0,0
119,1,0
1041,0,0
1585,0,0
1057,1,1
258,0,0
1172,0,0
1250,0,0
994,3,3
169,0,0
309,1,0
768,0,0
536,0,0
1350,1,0
984,2,3
1456,1,1
1004,2,2
406,0,0
894,1,1
1378,1,1
961,1,0
674,0,0
913,1,2
834,0,0
527,1,1
330,0,0
208,0,0
1068,0,0
104,1,1
400,0,0
259,0,0
403,0,0
22,2,2
204,1,1
1037,0,0
697,0,0
707,2,2
1246,0,0
409,0,0
389,0,0
1005,2,2
718,1,1
460,2,2
236,0,0
1207,0,0
1266,1,0
19,2,2
810,1,0
1560,2,2
1384,1,1
1385,1,0
742,0,0
793,2,2
446,0,0
283,0,0
51,1,2
3,2,2
267,0,0
115,2,2
140,2,2
1113,1,2
1571,1,1
628,0,0
167,0,0
863,1,1
1334,0,0
1215,0,0
1196,1,1
49,2,2
94,1,1
368,0,0
977,1,1
577,0,0
959,2,3
1289,0,0
1047,0,0
702,0,0
270,0,0
608,1,1
1234,1,1
1248,0,0
1466,0,0
435,0,0
228,1,1
1460,0,0
767,0,0
1592,0,0
640,0,0
303,0,0
919,2,2
1464,0,0
985,2,2
432,0,0
538,0,0
683,1,1
1394,0,0
211,1,1
1023,0,0
1517,1,1
88,1,1
826,0,0
547,0,0
573,0,0
491,1,1
659,0,0
302,2,0
622,1,1
629,0,0
1310,1,0
1100,1,1
761,0,0
1551,0,0
426,0,0
1389,0,0
192,0,0
1412,0,0
1377,1,1
1146,1,1
1507,1,1
922,1,0
983,2,1
921,0,0
631,0,0
1379,0,0
942,1,1
638,0,0
746,1,1
924,1,1
146,1,1
1528,0,0
1208,0,0
1071,1,1
