S.Code,WQI clf,latitude,longitude
1533,2,27.396089,95.631783
1534,2,26.105415,93.113917
1535,1,26.98,94.63
1536,2,26.979722,94.632211
1537,1,26.750143,94.219855
1538,3,24.820617,92.802431
1539,1,26.315597,90.996408
1540,2,26.48,90.56
1541,1,26.145228,91.736806
1542,0,26.1441,91.735194
2243,3,27.28822,95.680737
2244,0,26.92,94.73
2245,2,26.5885,93.748586
2246,2,26.200386,92.937992
2247,2,27.595294,94.724003
2248,1,27.224728,94.107373
2249,2,26.65285,92.792558
2250,2,26.350383,92.679592
2251,1,26.1277,92.215749
2252,2,26.105147,91.712525
2253,2,26.444617,91.441053
2254,1,26.5,90.97
2255,2,26.515756,90.532872
2256,2,26.403904,90.262979
2257,0,26.026696,89.970706
2258,2,26.170647,90.626604
2259,1,25.84274,93.425589
2261,1,25.163311,93.012825
2262,2,24.866553,92.367203
2263,2,24.681103,92.563806
2264,0,24.861042,92.596669
19,2,9.151239,76.730767
22,2,11.243611,75.898056
35,2,9.017,76.926
1581,2,8.469722,76.9825
1582,0,8.603286,77.002753
1583,3,8.960175,76.678806
1584,1,9.686781,76.336197
1585,0,9.968961,76.318042
1586,0,9.872489,76.551714
1587,2,10.051969,76.316119
1588,1,10.535106,76.209017
1589,2,11.040986,76.083017
1590,2,11.259675,75.948622
1591,3,11.874425,75.370572
1592,2,12.105044,75.205881
2308,1,9.443958,76.553158
2309,2,9.397414,76.367336
2310,2,9.766667,76.4
2311,2,9.589686,76.563272
2313,1,9.555006,76.317594
2314,2,8.918628,76.574831
2315,1,9.003322,76.532797
2316,3,11.889161,75.429339
2317,2,11.889444,75.525556
2320,2,11.120297,76.119967
2321,1,10.512489,76.185619
2322,0,10.480661,76.242117
2323,2,9.995953,76.363939
2324,1,9.971475,76.369517
2327,1,10.695067,76.722486
3463,2,11.270933,75.846133
3472,1,11.986836,75.393681
3474,1,12.105069,75.205833
3475,2,12.044617,75.390275
1593,0,8.283763,73.058467
1594,0,10.567056,72.635978
1595,0,10.567542,72.634967
1598,0,10.567278,72.638528
1599,0,10.552164,72.641722
1600,0,10.551808,72.634758
1601,0,10.551283,72.634122
1602,0,10.551819,72.63525
1603,0,10.54342,72.620033
1605,0,10.076011,73.630344
1606,0,10.076011,73.630344
1397,1,11.913137,79.815859
1398,1,11.913858,79.815606
1453,1,11.94445,79.781892
1454,1,12.021863,79.857077
1687,1,11.932642,79.83525
1688,1,12.001161,79.700722
1689,0,11.881819,79.806561
2009,1,11.93915,79.776433
2010,1,11.943921,79.790978
2011,1,11.893328,79.753917
2012,1,11.968099,79.816952
2013,1,10.867778,79.828333
2014,1,10.963617,79.678261
2446,1,10.766611,76.22855
2447,1,10.161183,76.425171
1736,0,26.686837,83.552618
1737,1,26.928581,83.707206
1738,1,26.537044,80.487825
1739,1,26.538889,80.487267
1740,1,26.540031,80.490569
1741,1,26.538322,80.485589
1742,2,26.846489,80.946736
1744,1,26.4499,80.331872
1745,1,26.423592,80.331022
1746,1,26.264778,82.072736
1747,0,26.771022,80.935244
1749,1,28.984417,77.706431
1750,1,28.939836,77.219978
1752,1,28.675322,77.344944
1753,1,28.688578,77.437194
1754,1,28.640478,77.423614
1755,1,28.637897,77.344133
1757,2,25.145956,82.565683
1759,2,25.539397,82.049394
1760,2,24.457019,82.993158
1761,0,24.120605,82.694761
1769,1,22.066658,88.069831
2469,1,25.379194,81.877067
2470,2,25.920075,80.809994
2471,0,26.760553,83.373167
2472,1,29.113,77.703
2473,1,28.864472,77.280622
2474,0,25.9,81.3
2475,0,26.1338,81.1611
2477,1,26.777608,79.021508
2478,1,26.874128,81.039583
2480,1,30.303783,76.886508
2267,0,15.354489,73.883148
2081,0,21.615413,72.941847
2793,0,19.197132,72.985993
2791,0,19.244118,73.117187
2792,0,19.202275,73.02209
2794,0,19.236012,72.999586
2795,0,19.28702,72.937644
2800,0,19.775596,72.755901
2803,0,19.034286,73.082422
2804,1,17.579149,73.426908
2814,0,16.997318,73.272523
2815,0,16.989085,73.284499
2354,1,17.042624,82.166873
2355,1,16.854914,82.231328
3051,1,16.518542,80.77469
2265,3,15.182391,73.990575
2266,2,15.16806,74.010058
2268,0,15.502818,73.949118
2073,1,23.134936,72.611525
2074,1,21.589419,72.975333
1479,0,28.72121,77.139675
1111,1,29.041915,76.142314
1112,1,28.805764,77.046769
1115,1,29.173241,76.91024
1116,0,29.358769,76.950469
3034,0,29.170539,76.909558
1419,0,28.506624,77.314305
3461,0,11.335961,75.761858
3467,0,10.07305,76.286714
3469,0,10.1108,76.476031
2836,1,24.245,93.54079
2428,0,20.474944,85.901762
2429,0,20.454888,85.924125
2430,0,20.315874,86.084897
2932,1,24.762569,71.73495
2933,1,30.180856,73.973639
2934,1,29.60093,74.321796
1729,0,23.844592,91.276394
2726,1,29.930289,78.137206
3035,0,28.778984,77.518927
2512,0,22.694406,88.44775
3052,0,16.525092,80.68445
3053,1,16.875379,82.14765
3054,0,18.758647,79.451014
3058,0,17.416597,78.465164
3059,0,17.46244,78.53509
3060,0,17.431905,78.388593
3061,0,17.404603,78.575576
3062,0,17.353142,78.529911
3063,0,18.867183,79.404586
3064,0,18.757561,79.466472
3065,0,18.756764,79.463308
3066,0,17.665869,80.883311
3067,1,17.047062,81.775012
1379,0,0.0,0.0
2178,0,18.68309,73.819812
2783,0,19.215514,72.983147
2784,0,19.232833,72.987447
2789,0,17.89403,75.026582
2790,1,16.890396,73.335499
1509,0,0.0,0.0
1898,1,30.900078,75.857275
1899,1,30.884394,75.854408
1900,1,30.897853,75.855422
