S.Code,WQI clf,WQI_pred,latitude,longitude
1001,2,47.65681496,32.237794,77.190564
1002,0,50.61401257,31.963639,77.116392
1003,2,47.55086385,31.740194,77.207533
1004,2,46.95701105,31.669367,77.064236
1005,2,46.28298771,31.422647,76.812947
1550,2,48.52067906,31.705853,76.934903
1006,1,59.0802186,31.712408,76.933089
2604,1,53.80955704,31.880753,76.614514
1007,1,54.73729074,31.83865,76.505144
1008,1,55.74558539,31.878094,76.203311
1009,1,53.79556868,31.935022,76.053444
1693,2,49.33931487,31.989016,75.832499
1694,1,65.22849788,32.111503,75.663325
1695,2,49.32967862,32.093633,75.609725
1010,1,55.24668323,32.097933,75.611474
1294,1,53.93616591,31.923867,75.541467
1011,2,46.97396101,31.51012,75.304936
1696,2,49.82159786,31.385361,75.176625
1012,2,47.27337984,31.374996,75.162691
1697,1,65.99945023,31.508844,75.307539
2601,0,50.50395042,32.263247,77.185664
2602,2,49.22016442,31.958136,77.115783
2603,2,47.65073839,31.686472,77.045619
1867,1,53.34268787,31.804453,78.643214
2611,1,54.4949485,31.798494,78.639769
1389,2,46.44982306,31.859386,77.165125
1086,1,57.4726837,31.448039,77.628283
1087,1,60.07539801,31.432236,77.622567
1013,1,54.93958581,31.247458,77.088208
1014,2,45.23843857,31.421014,76.837836
1015,2,48.96772929,31.412833,76.874881
1016,2,49.12671102,31.425772,76.421883
1017,0,80.17472864,31.380831,76.367228
1018,0,80.17472864,31.375996,76.364695
1293,0,181.0609176,30.984964,76.4672
1814,1,58.59024954,31.182044,76.563547
1019,0,82.26544236,31.379027,76.372115
1380,0,85.19524381,31.356053,76.372837
1690,0,346.710035,30.922369,75.919469
1020,0,902.1134268,30.975026,75.608293
1021,0,123.0922219,30.99775,75.371988
1381,0,590.9959278,31.01532,75.715315
1691,1,61.29036859,30.995289,74.552492
1692,1,57.10824238,30.99008,74.54847
1022,0,82.25854232,31.139816,74.936455
1088,1,53.84319525,32.492399,76.176291
1089,2,48.95421635,32.555144,76.121039
2614,2,48.98357689,32.6083,76.013308
2615,2,48.00356768,32.596661,75.992383
2613,2,44.25960126,32.57045,76.119792
1097,1,55.65355271,32.372983,75.61039
1290,2,49.08524346,31.896167,77.147692
2605,2,45.87782159,32.027531,77.348536
2606,2,47.14588276,32.019789,77.331117
1090,2,47.43037128,31.701264,77.169233
1551,1,68.51294034,30.919003,76.806214
1552,1,62.75409973,30.915403,76.791131
1868,1,61.5607499,30.998567,76.738231
1869,1,60.27592964,31.365081,76.306519
2616,2,48.0759628,32.721486,76.089586
1307,0,105.8359458,34.078121,74.813495
2607,0,76.59393442,31.756389,76.936111
2608,1,53.87947347,32.052972,76.649286
2609,1,52.90414043,31.908625,76.466739
2610,1,51.85404371,31.806619,78.641953
2612,1,52.39926303,31.389297,78.353714
1306,0,87.35664996,34.074254,74.807199
1304,1,69.66494641,33.739602,75.134049
1410,0,78.84091269,34.07107,74.827465
1411,0,105.8278046,34.09033,74.784796
1491,1,67.20957294,30.946033,78.688498
1484,0,118.22568,30.287506,78.985451
1485,0,110.0847921,30.290028,78.979932
1486,0,428.9170993,30.285854,78.978295
1487,0,171.0523944,30.144753,78.601484
1488,1,70.18277424,30.147103,78.598107
1489,0,679.5196734,30.140504,78.597358
1060,1,56.42939584,30.115135,78.307032
2725,0,103.4986357,30.019619,78.22939
1061,0,134.7217757,29.945254,78.164675
2727,1,66.68967096,29.851669,77.879742
1062,0,94.16299049,28.76062,78.143766
2488,0,76.79917277,28.364396,78.270269
2489,0,90.34859634,28.274208,78.324338
1145,1,74.04098134,28.1897,78.395878
2490,0,89.0281287,27.927803,78.866289
1063,0,159.1892577,27.138451,79.930775
1066,0,181.0495595,27.010953,79.986442
1146,0,124.1972561,26.610906,80.275419
1067,0,242.4311968,26.505542,80.314344
1068,0,1023.058358,26.436185,80.40961
1147,0,200.9708438,26.074386,81.024075
2498,0,192.5800707,25.774293,81.382673
1046,0,166.3276804,25.502474,81.855439
2487,0,137.4197807,25.443124,81.887148
1049,0,165.8484926,25.419206,81.900522
2485,0,86.57190549,25.244031,82.418272
2486,0,133.0747879,25.177058,82.602225
1070,0,258.3986936,25.289358,83.006389
1071,0,1021.146515,25.321486,83.035285
1073,0,382.2953298,25.578175,83.609594
1074,0,146.0970352,25.573508,83.966669
2551,0,247.0679368,25.576142,83.970428
1077,0,137.4013133,25.650869,85.115085
2556,0,94.99193673,24.902403,84.2074
2564,0,109.7597701,25.708441,84.889727
2552,0,282.1933669,25.622179,85.172816
1079,0,205.8482566,25.613753,85.204131
2555,0,108.9911928,25.627333,85.155472
2553,0,138.0485655,25.511611,85.307417
1817,0,131.5205696,25.401104,85.923198
1815,0,249.9402024,25.381441,85.987169
1818,0,123.3458268,25.384978,86.458978
2554,0,116.0690965,25.257511,86.747053
1819,0,160.2186271,25.254387,86.948424
1816,0,201.0391189,25.267334,87.227318
1080,0,2423.242593,24.100312,88.244054
2511,0,366.7219407,23.386728,88.364884
2506,0,130.3146681,22.984402,88.40197
1054,0,1965.156409,22.780189,88.3338
1472,0,1560.130706,22.761306,88.340319
1053,0,6200.147744,22.653061,88.357589
1471,0,3023.292998,22.558292,88.324394
1470,0,3784.993427,22.549717,88.296125
1052,0,814.0348505,22.453473,88.115051
1469,0,528.9095538,22.183383,88.193783
1492,1,62.48328235,30.976465,78.438614
1493,1,63.0770306,30.932423,78.400244
1494,1,58.5612197,30.518822,77.949536
1490,0,179.4317483,30.498618,77.803498
1553,0,90.29647716,30.392244,77.572103
1554,1,54.74717648,30.465256,77.661758
1117,0,772.1243277,30.314987,77.583328
