S.Code,WQI clf,WQI_clf_pred,latitude,longitude
1001,1,2,32.237794,77.190564
1002,1,2,31.963639,77.116392
1003,1,2,31.740194,77.207533
1004,1,2,31.669367,77.064236
1005,1,2,31.422647,76.812947
1550,1,1,31.705853,76.934903
1006,2,2,31.712408,76.933089
2604,2,2,31.880753,76.614514
1007,2,2,31.83865,76.505144
1008,2,2,31.878094,76.203311
1009,2,2,31.935022,76.053444
1693,1,1,31.989016,75.832499
1694,2,2,32.111503,75.663325
1695,1,1,32.093633,75.609725
1010,2,2,32.097933,75.611474
1294,2,2,31.923867,75.541467
1011,1,1,31.51012,75.304936
1696,1,1,31.385361,75.176625
1012,1,1,31.374996,75.162691
1697,2,2,31.508844,75.307539
2601,1,1,32.263247,77.185664
2602,1,1,31.958136,77.115783
2603,1,1,31.686472,77.045619
1867,2,2,31.804453,78.643214
2611,2,2,31.798494,78.639769
1389,1,1,31.859386,77.165125
1086,2,2,31.448039,77.628283
1087,2,2,31.432236,77.622567
1013,2,2,31.247458,77.088208
1014,1,2,31.421014,76.837836
1015,1,2,31.412833,76.874881
1016,1,2,31.425772,76.421883
1017,3,3,31.380831,76.367228
1018,3,3,31.375996,76.364695
1293,3,3,30.984964,76.4672
1814,2,2,31.182044,76.563547
1019,3,3,31.379027,76.372115
1380,3,3,31.356053,76.372837
1690,3,3,30.922369,75.919469
1020,3,3,30.975026,75.608293
1021,3,3,30.99775,75.371988
1381,3,3,31.01532,75.715315
1691,2,2,30.995289,74.552492
1692,2,2,30.99008,74.54847
1022,3,3,31.139816,74.936455
1088,2,2,32.492399,76.176291
1089,1,2,32.555144,76.121039
2614,1,1,32.6083,76.013308
2615,1,1,32.596661,75.992383
2613,1,1,32.57045,76.119792
1097,2,2,32.372983,75.61039
1290,1,2,31.896167,77.147692
2605,1,1,32.027531,77.348536
2606,1,1,32.019789,77.331117
1090,1,2,31.701264,77.169233
1551,2,2,30.919003,76.806214
1552,2,2,30.915403,76.791131
1868,2,2,30.998567,76.738231
1869,2,2,31.365081,76.306519
2616,1,1,32.721486,76.089586
1307,3,3,34.078121,74.813495
2607,3,3,31.756389,76.936111
2608,2,2,32.052972,76.649286
2609,2,2,31.908625,76.466739
2610,2,2,31.806619,78.641953
2612,2,1,31.389297,78.353714
1306,3,3,34.074254,74.807199
1304,2,2,33.739602,75.134049
1410,3,3,34.07107,74.827465
1411,3,3,34.09033,74.784796
1491,2,2,30.946033,78.688498
1484,3,3,30.287506,78.985451
1485,3,3,30.290028,78.979932
1486,3,3,30.285854,78.978295
1487,3,3,30.144753,78.601484
1488,2,3,30.147103,78.598107
1489,3,3,30.140504,78.597358
1060,2,2,30.115135,78.307032
2725,3,3,30.019619,78.22939
1061,3,3,29.945254,78.164675
2727,2,2,29.851669,77.879742
1062,3,3,28.76062,78.143766
2488,3,3,28.364396,78.270269
2489,3,3,28.274208,78.324338
1145,2,3,28.1897,78.395878
2490,3,3,27.927803,78.866289
1063,3,3,27.138451,79.930775
1066,3,3,27.010953,79.986442
1146,3,3,26.610906,80.275419
1067,3,3,26.505542,80.314344
1068,3,3,26.436185,80.40961
1147,3,3,26.074386,81.024075
2498,3,3,25.774293,81.382673
1046,3,3,25.502474,81.855439
2487,3,3,25.443124,81.887148
1049,3,3,25.419206,81.900522
2485,3,3,25.244031,82.418272
2486,3,3,25.177058,82.602225
1070,3,3,25.289358,83.006389
1071,3,3,25.321486,83.035285
1073,3,3,25.578175,83.609594
1074,3,3,25.573508,83.966669
2551,3,3,25.576142,83.970428
1077,3,3,25.650869,85.115085
2556,3,3,24.902403,84.2074
2564,3,3,25.708441,84.889727
2552,3,3,25.622179,85.172816
1079,3,3,25.613753,85.204131
2555,3,3,25.627333,85.155472
2553,3,3,25.511611,85.307417
1817,3,3,25.401104,85.923198
1815,3,3,25.381441,85.987169
1818,3,3,25.384978,86.458978
2554,3,3,25.257511,86.747053
1819,3,3,25.254387,86.948424
1816,3,3,25.267334,87.227318
1080,3,3,24.100312,88.244054
2511,3,3,23.386728,88.364884
2506,3,3,22.984402,88.40197
1054,3,3,22.780189,88.3338
1472,3,3,22.761306,88.340319
1053,3,3,22.653061,88.357589
1471,3,3,22.558292,88.324394
1470,3,3,22.549717,88.296125
1052,3,3,22.453473,88.115051
1469,3,3,22.183383,88.193783
1492,2,2,30.976465,78.438614
1493,2,2,30.932423,78.400244
1494,2,2,30.518822,77.949536
1490,3,3,30.498618,77.803498
1553,3,3,30.392244,77.572103
1554,2,2,30.465256,77.661758
1117,3,3,30.314987,77.583328
1496,3,3,30.069997,77.355057
1119,3,3,29.002116,77.023752
1120,3,3,28.85018,77.210184
1497,3,3,28.095092,77.477669
2495,3,3,27.586087,77.696364
1123,3,3,27.564981,77.708718
2494,3,3,27.504755,77.686524
1124,3,3,27.443052,77.716133
1125,3,3,27.250657,77.861624
1126,3,3,27.17969,78.119555
2493,3,3,29.604121,77.109833
1498,3,3,26.932682,78.54366
1127,3,3,26.752436,79.01967
1499,3,3,26.42602,79.478799
1129,3,3,0.0,0.0
1069,3,3,25.422471,81.838806
2724,3,3,30.25,78.016667
2728,2,2,29.209064,79.537174
1064,3,3,27.190822,79.818261
1065,3,3,27.161314,79.919914
2482,3,3,25.386717,82.852628
2483,3,3,25.332956,83.043393
1361,3,3,26.649979,80.793854
2484,3,3,25.629922,82.756208
1350,3,3,27.572878,80.67895
1351,3,3,26.862031,80.931322
1352,3,3,26.833275,80.995211
1353,3,3,25.751611,82.726469
1072,3,3,25.507856,83.158181
2491,3,3,26.733174,83.347894
1363,3,3,26.754692,83.334211
1354,3,3,26.797519,82.234306
1355,3,3,26.169467,83.868992
2492,3,3,26.278524,83.513885
1076,3,3,25.771153,84.654639
1359,3,3,24.339814,83.003589
1360,3,3,24.261214,83.009353
1075,3,3,25.5753,84.798144
1078,3,3,25.675279,85.189845
2568,3,3,25.988349,85.045545
2570,3,3,25.867123,85.784927
2575,3,3,26.560646,85.052409
1820,3,3,26.960335,84.534192
2562,3,3,26.138571,85.388808
2558,3,3,27.105529,84.454541
2567,3,3,26.269758,86.268875
2569,3,3,26.135844,86.333137
2563,3,3,26.576389,85.317222
2565,3,3,25.42082,87.236262
2566,3,3,25.930352,86.801274
1821,3,3,26.222639,84.354122
2560,3,3,26.520035,84.357095
2561,3,3,26.223497,84.347097
1823,3,3,26.410836,86.237178
1824,3,3,26.399461,87.242477
2559,3,3,27.170083,84.322471
1822,3,3,26.98375,84.857739
1510,1,1,30.556089,77.777152
2620,2,2,30.892361,77.210569
2626,2,2,30.455225,77.584234
2627,2,2,30.429819,77.578623
2621,2,2,30.882006,77.211344
2622,1,2,30.522537,77.667622
2623,2,2,30.552658,77.643922
2617,1,1,31.126891,77.74353
2618,1,1,31.200297,77.753211
2619,1,1,31.083417,77.802406
1477,3,3,29.474581,77.67095
2496,3,3,29.186169,77.494114
1358,3,3,28.673761,77.402644
2107,2,2,25.767472,79.331309
2108,2,2,24.317042,78.127198
2119,3,3,23.070703,77.536902
