S.Code,WQI clf,latitude,longitude
1001,2,32.237794,77.190564
1002,1,31.963639,77.116392
1003,2,31.740194,77.207533
1004,2,31.669367,77.064236
1005,2,31.422647,76.812947
1550,2,31.705853,76.934903
1006,0,31.712408,76.933089
1007,2,31.83865,76.505144
1008,2,31.878094,76.203311
1009,1,31.935022,76.053444
1693,2,31.989016,75.832499
1694,2,32.111503,75.663325
1695,2,32.093633,75.609725
1010,2,32.097933,75.611474
1294,1,31.923867,75.541467
1011,1,31.51012,75.304936
1696,1,31.385361,75.176625
1012,1,31.374996,75.162691
1697,1,31.508844,75.307539
1867,2,31.804453,78.643214
1389,2,31.859386,77.165125
1086,2,31.448039,77.628283
1087,2,31.432236,77.622567
1013,2,31.247458,77.088208
1014,2,31.421014,76.837836
1015,2,31.412833,76.874881
1016,2,31.425772,76.421883
1017,2,31.380831,76.367228
1018,2,31.375996,76.364695
1293,1,30.984964,76.4672
1019,1,31.379027,76.372115
1380,1,31.356053,76.372837
1690,0,30.922369,75.919469
1020,0,30.975026,75.608293
1021,0,30.99775,75.371988
1381,0,31.01532,75.715315
1691,1,30.995289,74.552492
1692,1,30.99008,74.54847
1022,0,31.139816,74.936455
1089,2,32.555144,76.121039
1088,2,32.492399,76.176291
1097,1,32.372983,75.61039
1290,2,31.896167,77.147692
1090,2,31.701264,77.169233
1551,2,30.919003,76.806214
1552,1,30.915403,76.791131
1868,1,30.998567,76.738231
1869,1,31.365081,76.306519
1491,0,30.946033,78.688498
1484,0,30.287506,78.985451
1485,0,30.290028,78.979932
1486,0,30.285854,78.978295
1487,0,30.144753,78.601484
1488,0,30.147103,78.598107
1489,0,30.140504,78.597358
1060,1,30.115135,78.307032
1061,0,29.945254,78.164675
1062,0,28.76062,78.143766
1145,0,28.1897,78.395878
1063,0,27.138451,79.930775
1066,0,27.010953,79.986442
1146,0,26.610906,80.275419
1067,0,26.505542,80.314344
1068,0,26.436185,80.40961
1147,0,26.074386,81.024075
1046,0,25.502474,81.855439
1049,0,25.419206,81.900522
1070,0,25.289358,83.006389
1071,0,25.321486,83.035285
1073,0,25.578175,83.609594
1074,0,25.573508,83.966669
1077,0,25.650869,85.115085
1079,0,25.613753,85.204131
1817,0,25.401104,85.923198
1815,0,25.381441,85.987169
1818,0,25.384978,86.458978
1819,0,25.254387,86.948424
1816,0,25.267334,87.227318
1080,0,24.100312,88.244054
1472,0,22.761306,88.340319
1053,0,22.653061,88.357589
1471,0,22.558292,88.324394
1470,0,22.549717,88.296125
1052,0,22.453473,88.115051
1054,0,22.780189,88.3338
1469,0,22.183383,88.193783
1492,0,30.976465,78.438614
1493,0,30.932423,78.400244
1494,0,30.518822,77.949536
1490,0,30.498618,77.803498
1553,0,30.392244,77.572103
1554,0,30.465256,77.661758
1117,0,30.314987,77.583328
1496,0,30.069997,77.355057
1119,0,29.002116,77.023752
1120,0,28.85018,77.210184
1123,0,27.564981,77.708718
1124,0,27.443052,77.716133
1125,0,27.250657,77.861624
1498,0,26.932682,78.54366
1127,0,26.752436,79.01967
1499,0,26.42602,79.478799
2283,0,25.956967,80.157122
1069,0,25.422471,81.838806
1065,0,27.161314,79.919914
1477,0,29.474581,77.67095
1064,0,27.190822,79.818261
1350,1,27.572878,80.67895
1351,0,26.862031,80.931322
1352,0,26.833275,80.995211
1072,0,25.507856,83.158181
1353,0,25.751611,82.726469
1361,0,26.649979,80.793854
1354,0,26.797519,82.234306
1076,0,25.771153,84.654639
1483,0,28.635922,77.394341
1358,0,28.673761,77.402644
1359,0,24.339814,83.003589
1360,0,24.261214,83.009353
1078,1,25.675279,85.189845
1821,0,26.222639,84.354122
1824,0,26.399461,87.242477
2119,0,23.070703,77.536902
2121,1,23.141901,77.615943
2122,1,23.333714,77.778319
1614,1,23.541173,77.801938
2124,1,23.540606,77.802246
2125,1,23.550512,77.79947
1356,1,25.94085,80.153822
2120,1,23.110272,77.508595
1365,0,22.428806,75.508689
1366,1,22.428791,75.508684
1418,1,24.699027,75.551954
1288,1,25.141518,75.794083
1289,0,25.268768,75.906611
1609,1,26.660536,77.904557
1413,1,25.864446,76.574623
1376,0,26.544188,79.089502
1510,0,30.556089,77.777152
1607,1,26.429359,78.430415
1613,1,22.960571,77.346276
1369,0,23.187353,75.764282
1370,0,22.97582,75.917157
1468,0,23.211447,75.774618
1615,1,23.503227,77.133531
1433,1,26.226494,77.995516
1608,1,25.888006,78.337099
1075,0,25.5753,84.798144
1763,0,23.404606,88.709745
1764,0,23.177966,88.558164
1823,0,26.410836,86.237178
1735,1,24.651228,78.423136
2382,2,23.761172,86.011903
2383,1,23.700981,86.372953
2384,1,23.643092,86.464492
2391,1,23.681006,86.751872
1331,0,23.685031,86.823472
1332,0,23.646961,86.897068
1333,0,23.584399,87.103495
1334,0,23.429785,87.364995
1335,0,22.066481,88.068869
1336,0,23.721689,86.801628
1337,0,22.21835,88.024305
1946,0,26.739728,88.422452
2396,0,23.455233,85.310539
2381,1,23.770609,85.922067
2390,2,23.780586,85.876131
1260,1,27.687681,95.297822
1030,1,27.510417,94.953333
1262,1,26.830744,94.172775
1526,1,26.616375,92.82735
1031,0,26.176,91.68375
1299,1,26.214866,90.557934
2069,0,26.190372,91.745589
2064,1,26.24776,91.918205
2067,1,26.160268,91.56994
2066,1,26.015519,89.993294
1796,1,25.888505,93.733632
1799,1,26.622872,93.773159
1797,1,25.912708,93.743269
1800,1,25.802,93.606574
1798,1,25.910359,93.743963
1259,1,26.503075,93.952372
1928,1,25.801511,93.606777
1930,0,25.67564,94.109775
1929,1,25.752349,93.869559
1261,2,27.510417,94.953333
2061,2,27.411803,95.985028
1422,1,27.284622,95.662347
2062,1,27.321156,95.309064
2230,1,27.320585,95.308605
2065,1,26.447389,91.460667
1530,1,27.381964,95.622819
2063,2,26.759281,92.858803
2237,0,26.349206,92.68035
2059,1,26.265026,92.264751
2060,1,26.496268,90.652663
2058,1,27.141901,95.36639
1298,1,27.311023,95.101786
1258,0,26.846906,94.492244
1527,1,26.781058,94.208548
1531,1,26.848745,92.840375
1423,1,24.8674,92.600817
1528,0,26.167661,91.765289
1529,0,26.119297,91.647713
2068,0,24.648536,92.608089
1801,2,27.601903,88.646449
1807,2,27.136928,88.392222
1808,2,27.531575,88.515094
1809,2,27.532972,88.512217
1947,0,26.902782,88.47309
1802,2,27.402553,88.519402
1803,2,27.38805,88.622663
1804,2,27.309928,88.583236
1805,2,27.292886,88.590303
1806,2,27.136739,88.396831
2229,1,27.832518,95.672347
2231,1,26.975605,94.630335
2232,2,26.602234,93.403253
2233,2,27.358877,94.181102
2234,2,27.342717,93.816486
2235,2,26.699918,92.335305
2236,1,26.165759,92.353897
2238,2,26.493169,90.917841
2239,1,26.311379,89.831334
2240,1,24.786736,92.813553
2241,2,24.735544,92.889269
2242,2,24.870906,92.376439
