"Water Quality
Station Code",Name or Location of Monitoring Station,State/UT,"Type of Water
Body","Frequency of
Monitoring",Latitude,Longitude,
14,"GODAVARI AT POLAVARAM, WEST GODAVARI DISTRICT",ANDHRA PRADESH,RIVER,MONTHLY,17.247331,81.646613,
25,"KRISHNA AT VIJAYWADA, KRISHNA",ANDHRA PRADESH,RIVER,MONTHLY,16.492476,80.640839,
26,"WELL AT GRAM PANCHAYAT OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,16.508853,80.641519,
30,"PENNAR AT SIDDVATAM, KADAPA",ANDHRA PRADESH,RIVER,MONTHLY,14.464393,78.964627,
1174,"TUNGABHADRA AT KURNOOL U/S, BHAVAPURAM, KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,15.8483,78.034942,
1175,"KRISHNA A/C WITH TUNGABHADRA, SANGAMESHWARAM, 
KUNOOL",ANDHRA PRADESH,RIVER,MONTHLY,16.001874,78.364986,
1177,"MUNERU B/C WITH KRISHNA, NANDIGAMA",ANDHRA PRADESH,RIVER,MONTHLY,16.670823,80.297751,
1178,"PALLERU B/C WITH KRISHNA, JAGGAIAPET",ANDHRA PRADESH,RIVER,MONTHLY,16.951698,80.048401,
1218,"GODAVARI AT RAJAHMUNDRY U/S, KUMARADEVAM, EAST
GODAVARI",ANDHRA PRADESH,RIVER,MONTHLY,17.069466,81.711134,
1219,"GODAVARI AT RAJAHMUNDRY D/S, DHAVALESWARAM, EAST
GODAVARI",ANDHRA PRADESH,RIVER,MONTHLY,17.007975,81.763328,
1255,"PENNAR B/C WITH CHITRAVATHI, TADIPATRI, UNGANOOR, 
ANANTAPURA",ANDHRA PRADESH,RIVER,MONTHLY,14.150574,77.822711,
1256,"PENNAR A/C WITH PAPAGNI, PUSHPAGINI, KADAPA",ANDHRA PRADESH,RIVER,MONTHLY,14.572795,78.79715,
1257,"PENNAR A/C WITH CHEYYURU, SOMASILA, NELLORE",ANDHRA PRADESH,RIVER,MONTHLY,14.481442,79.290142,
1448,"NAGAVALI AT THOTAPALLI REGULATOR, VIZIANAGARAM",ANDHRA PRADESH,RIVER,MONTHLY,18.787433,83.494512,
1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR
VIJJAYAWADA",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,16.501486,80.675692,
1514,BOREWELL VIJAY KUMAR AUTONAGAR VIJAYAWADA,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,16.501508,80.676725,
1516,"BOREWELL OF NAVLOK GARDENS, NELLORE",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,14.445036,79.987869,
1517,BOREWELL NEAR TUNGBHADRA RIVER KURNOOL,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,15.8363,78.048593,
1518,BOREWELL AT NANDYAL (KUNDU),ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,15.479222,78.480942,
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,13.321417,79.585592,
1520,BOREWELL NEAR SWARNAMUKHI RIVER AT SRIKALAHASTI,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,13.758251,79.701872,
1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 , MINDI , 
VISAKHAPATNAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,17.704261,83.211783,
1522,OPEN WELL PEDDANUVVI - VIZIANAGARAM,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,18.104532,83.397197,
1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. , KOVVUR",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,17.015144,81.736181,
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE -KAKINADA,ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,16.971003,82.219006,
1782,KRISHNA AT HAMSALADEEVI PULIGADDA AQUEDUCT NEAR,ANDHRA PRADESH,RIVER,MONTHLY,16.000123,81.079082,
,"AVANIGADDA(V), KRISHNA DISTRICT",,,,,,
1785,"TUNGABHADRA AT MANTHRALAYAM, KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,15.944453,77.419709,
1786,"KRISHNA AT VEDADRI, KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,16.801875,80.129553,
1787,"KRISHNA AT AMARAVATI, GUNTUR",ANDHRA PRADESH,RIVER,MONTHLY,16.582608,80.343451,
1790,"PULICATE LAKE , NELLORE DIST",ANDHRA PRADESH,LAKE,MONTHLY,13.710482,80.084494,
2350,"RIVER HUNDRI AT JOHARAPURAM(V), NEAR TEMPLE, KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,15.819061,78.056866,
2351,"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,15.49,78.4748,
2352,"VAMSADHARA, KALINGAPATNAM, VIZIANAGARAM",ANDHRA PRADESH,RIVER,MONTHLY,18.343003,84.124328,
2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, 
VISHAKHAPATNAM",ANDHRA PRADESH,LAKE,MONTHLY,17.602201,82.997395,
2354,"SAMARLA KOTA CANAL, KAKINADA, EAST GODAVARI",ANDHRA PRADESH,CANAL,MONTHLY,17.042624,82.166873,
2355,"TULJE BAGH CANAL, TEKRI DRAIN, KAKINADA, EAST GODAVARI",ANDHRA PRADESH,CANAL,MONTHLY,16.854914,82.231328,
2370,"GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL, EAST
GODAVARI DISTRICT",ANDHRA PRADESH,RIVER,MONTHLY,17.023186,81.768181,
2371,"GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL, EAST
GODAVARI DISTRICT",ANDHRA PRADESH,RIVER,MONTHLY,16.958989,81.78175,
3051,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY, KRISHNA",ANDHRA PRADESH,CANAL,MONTHLY,16.518542,80.77469,
3052,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT
RAMAVARAPPADU, KRISHNA, A.P.",ANDHRA PRADESH,DRAIN,MONTHLY,16.525092,80.68445,
3053,"TULIA BAGH DRAIN AT VEMULAVADA, EAST GODAVARI, A.P.",ANDHRA PRADESH,DRAIN,MONTHLY,16.875379,82.14765,
3067,"OUTLET OF STP ON GODAVARI, RAJAMUNDRY, EAST GODAVARI, 
A.P.",ANDHRA PRADESH,DRAIN,MONTHLY,17.047062,81.775012,
,D/S OF RIVER KRISHNA A/C WITH TREATED SEWAGE DISCHARGING,,,,,,
3079,"FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR, ",ANDHRA PRADESH,RIVER,MONTHLY,16.398256,80.721106,
,"VIJAYAWADA, KRISHNA",,,,,,
3083,"KRISHNA D/S OF SRISHAILAM, KURNOOL",ANDHRA PRADESH,RIVER,MONTHLY,16.087917,78.890169,
3087,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V)",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,16.57873,80.665263,
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,17.647774,83.07053,
3090,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,17.694566,83.231092,
3091,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,17.845289,83.368911,
3092,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,18.57652,84.015135,
3093,"BORE WELL AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM",ANDHRA PRADESH,GROUND WATER,HALF-YEARLY,18.135208,83.61347,
4346,"RIVER NAGAVALI NEAR NH- 16 BRIDGE, UPSTREAM (U/S) OF 
SRIKAKULAM TOWN, BEFORE CONFLUENCE OF TOWN SEWAGE",ANDHRA PRADESH,RIVER,MONTHLY,18.272669,83.899008,
