,STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,WQI,WQI clf
0,1533.0,"*DIGBOI, TINSUKIA DISTT.,Â Â ASSAM",Assam,23.5,6.6,6.5,748.0,1.4,7.0,18.0,12000.0,46.167449855072455,2
1,1534.0,"*KARBIÂ Â ANGLONG DISTT., ASSAM",Assam,23.5,6.6,6.4,338.0,1.1,0.7,75.0,5500.0,40.826549855072464,2
2,1535.0,"*SIBSAGAR , ASSAM",Assam,24.5,6.6,7.0,333.0,1.4,0.5,0.0,91.0,51.0277031884058,1
3,1536.0,"*SIBSAGAR, ASSAM",Assam,22.5,6.6,5.7,791.0,1.9,0.3,0.0,46.0,32.95469652173913,2
4,1537.0,"*(JORHAT, ASSAM",Assam,24.5,6.6,7.0,510.0,2.2,3.1,54.0,3350.0,60.34288985507247,1
5,1538.0,"*SILCHAR, ASSAM",Assam,22.0,6.6,5.1,125.0,0.7,3.7,18.0,2300.0,13.035189855072455,3
6,1539.0,"*BARPETA, ASSAM",Assam,27.5,6.6,6.8,599.0,2.0,1.5,0.0,0.0,53.01473652173913,1
7,1540.0,"*BONAIGAON, ASSAM",Assam,27.5,6.6,5.9,446.0,1.1,0.3,0.0,0.0,29.259076521739143,2
8,1541.0,"*GUWAHATI, ASSAM",Assam,23.0,6.6,6.4,1048.0,2.4,9.8,120.0,12115.0,55.935083188405805,1
9,1542.0,"*GUWAHATI, ASSAM",Assam,25.0,6.6,6.9,716.0,1.5,0.9,18.0,46.0,50.692796521739126,0
10,2243.0,"GROUND WATER FROM LEDO, MARGHERITA",Assam,23.0,6.6,5.7,591.0,0.8,8.3,0.0,0.0,24.038043188405798,3
11,2244.0,GROUND WATER FROM NAZIRA,Assam,23.0,6.6,6.6,562.0,1.1,3.6,4650.0,4669.0,145.5895765217391,0
12,2245.0,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,26.5,6.6,5.7,248.0,1.0,2.5,230.0,966.0,30.394369855072465,2
13,2246.0,GROUND WATER FROM SEMENCHAPARI,Assam,21.0,6.6,6.6,544.0,0.8,0.1,0.0,0.0,38.75516985507246,2
14,2247.0,GROUND WATER FROM SILAPATHAR,Assam,21.0,6.6,6.2,649.0,0.5,3.3,0.0,18.0,29.53249652173913,2
15,2248.0,GROUND WATER FROM LAKHIMPUR TOWN,Assam,26.0,6.6,6.6,817.0,2.2,5.6,0.0,195.0,51.8522631884058,1
16,2249.0,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,27.0,6.6,6.1,195.0,1.1,1.3,0.0,18.0,32.78914985507246,2
17,2250.0,GROUND WATER FROM NAGAON (PANIGAON),Assam,28.5,6.6,6.6,475.0,0.6,1.6,0.0,0.0,37.133589855072465,2
18,2251.0,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,27.0,6.6,6.5,1322.0,2.4,7.3,37.0,5500.0,54.16842985507246,1
19,2252.0,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24.0,6.6,6.4,417.0,1.3,0.1,0.0,0.0,39.68122985507247,2
20,2253.0,GROUND WATER FROM NALBARI,Assam,25.5,6.6,6.9,601.0,1.1,5.5,0.0,0.0,47.22170985507247,2
21,2254.0,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,28.6,6.6,6.9,1038.0,0.3,0.2,465.0,55000.0,62.03328318840581,1
22,2255.0,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,29.3,6.6,6.9,747.0,0.8,6.1,0.0,2300.0,45.16982985507247,2
23,2256.0,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,28.5,6.6,6.5,515.0,0.6,4.0,46.0,645.0,36.827289855072465,2
24,2257.0,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,29.1,6.6,7.2,883.0,0.9,0.3,1150.0,1196.0,75.83093652173913,0
25,2258.0,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,30.0,6.6,6.6,539.0,0.8,3.0,0.0,1265.0,39.34943652173913,2
26,2259.0,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,28.5,6.6,7.4,1515.0,1.8,1.6,0.0,0.0,61.87278985507247,1
27,2261.0,GROUND WATER FROM HAFLONG,Assam,16.0,6.6,7.1,566.0,2.2,0.2,0.0,75.0,59.860243188405796,1
28,2262.0,GROUND WATER FROM KARIMGANJ (COLLEGE),Assam,12.0,6.6,6.5,330.0,0.9,4.7,0.0,430.0,38.4548231884058,2
29,2263.0,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,16.5,6.6,6.6,363.0,0.5,1.1,0.0,0.0,36.16908318840579,2
30,2264.0,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,Assam,17.5,6.6,6.5,662.0,3.6,2.3,455.0,14640.0,75.3475631884058,0
31,19.0,"WELL AT ELOOR, KERALA",Kerala,27.5,6.6,6.2,159.0,1.0,2.6,150.0,370.0,37.1666031884058,2
32,22.0,"WELL AT CHUNGAPALLY, KERALA",Kerala,25.0,6.6,6.7,114.0,0.4,0.9,184.0,226.0,41.05935652173913,2
33,35.0,"WELL AT PUNALUR, KERALA",Kerala,24.0,6.6,6.0,195.0,0.6,0.8,162.0,270.0,30.2081231884058,2
34,1581.0,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",Kerala,25.8,6.6,6.4,354.0,1.3,1.2,95.0,285.0,41.94983652173914,2
35,1582.0,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",Kerala,25.8,6.6,7.2,160.0,4.0,2.7,69.0,210.0,79.26845652173913,0
36,1583.0,"KUNDARA, KOLLAM DISTT. , KERALA",Kerala,23.0,6.6,4.7,159.0,0.5,0.8,1.0,33.0,3.136763188405801,3
37,1584.0,"CHERTHALA, ALLEPPY, KERALA",Kerala,28.3,6.6,7.7,177.0,0.8,0.0,160.0,245.0,61.34939652173913,1
38,1585.0,"VYTTILA, ERNAKULAM DISTT. , KERALA",Kerala,28.6,6.6,7.7,405.0,3.1,5.2,76.0,455.0,80.51748985507245,0
39,1586.0,"EDAYAR ERNAKULAM DISTT., KERALA",Kerala,27.8,6.6,5.7,328.0,1.0,5.7,7.0,14.0,25.624096521739133,0
40,1587.0,"KALAMASSERY ERNAKULAM DISTT. , KERALA",Kerala,28.0,6.6,6.9,248.0,0.9,8.1,116.0,361.0,48.30093652173913,2
41,1588.0,"PUNKUNNAM TRISSUR DISTT. , KERALA",KERALA,29.0,6.6,7.6,270.0,1.0,1.5,160.0,585.0,61.64305652173913,1
42,1589.0,"MALAPURAM , KERALA",Kerala,29.3,6.6,6.8,285.0,0.6,0.7,2.0,16.0,40.51310985507246,2
43,1590.0,"MAVOOR, KOZHIKKODE DISTT. , KERALA",Kerala,26.0,6.6,6.7,101.0,0.6,1.6,181.0,404.0,42.87628985507247,2
44,1591.0,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",Kerala,29.0,6.6,5.5,99.0,1.0,3.3,2.0,16.0,21.72925652173913,3
45,1592.0,"PAYYANNUR, KANNUR DISTT. , KERALA",Kerala,28.0,6.6,6.6,164.0,1.2,2.3,1.0,18.0,42.47896318840579,2
46,2308.0,FATHIMAPURAM (CHANGANASSERY),Kerala,28.3,6.6,6.5,281.0,0.4,5.6,795.0,1695.0,51.9642431884058,1
47,2309.0,KAROOR (PALA),Kerala,28.0,6.6,5.7,93.0,0.7,2.9,640.0,1250.0,36.871883188405796,2
48,2310.0,VAIKOM,Kerala,27.5,6.6,6.2,157.0,0.5,2.7,655.0,1615.0,44.18549652173914,2
49,2311.0,VADAVATHOOR (KOTTAYAM),Kerala,27.3,6.6,6.2,137.0,0.4,6.8,340.0,605.0,36.5604631884058,2
50,2313.0,"SARVODAPURAM, ALAPPUZHA",Kerala,28.0,6.6,7.8,249.0,1.1,0.0,320.0,505.0,69.35003652173913,1
51,2314.0,KUREEPUZHA (KOLLAM),Kerala,24.0,6.6,6.4,205.0,1.2,2.5,160.0,460.0,42.64898985507247,2
52,2315.0,K.M.M.L. (KOLLAM),Kerala,24.0,6.6,7.9,488.0,1.9,1.7,111.0,267.0,73.73482318840581,1
53,2316.0,CHELLORA TRENCHING GROUND (KANNUR),Kerala,27.5,6.6,5.2,63.0,1.0,1.2,15.0,165.0,16.60381652173913,3
54,2317.0,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,Kerala,27.5,6.6,6.0,313.0,1.0,5.5,2.0,15.0,30.696649855072465,2
55,2320.0,MANJERI,Kerala,29.0,6.6,6.6,237.0,0.5,2.1,11.0,55.0,36.50589652173912,2
56,2321.0,LALOOR (THRISSUR),Kerala,30.0,6.6,6.7,280.0,1.9,4.1,170.0,640.0,54.50542318840579,1
57,2322.0,OLLUR (THRISSUR),Kerala,29.5,6.6,5.2,208.0,53.2,2.3,155.0,505.0,481.9991831884058,0
58,2323.0,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),Kerala,27.6,6.6,5.8,299.0,0.9,5.5,740.0,1065.0,42.87716985507246,2
59,2324.0,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),Kerala,27.8,6.6,7.0,157.0,1.9,0.4,7.0,13.0,55.541589855072466,1
60,2327.0,KARUKAMANI,Kerala,30.0,6.6,7.0,885.0,0.8,1.8,245.0,390.0,51.460356521739136,1
61,3463.0,"WELL AT VELLIPARAMBA, KOZHEKODE",Kerala,27.5,6.6,6.2,105.0,0.6,2.7,180.0,406.0,34.295776521739135,2
62,3472.0,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",Kerala,29.0,6.6,7.6,831.0,0.9,1.8,4.0,7.0,57.33931652173913,1
63,3474.0,"WELL AT PAYANOOR, KANNUR",Kerala,28.5,6.6,7.4,186.0,1.4,2.3,4.0,16.0,58.208063188405795,1
64,3475.0,"WELL AT KARIMBAM, KANNUR",Kerala,27.0,6.6,6.2,110.0,1.0,2.0,0.0,5.0,33.6949231884058,2
65,1593.0,"WELL NEAR J.B SCHOOL, LAKSHDWEEP",Lakshadweep,30.1,6.6,7.3,951.0,2.4,0.0,4000.0,22333.0,158.46223652173913,0
66,1594.0,"WELL NEAR OTTAVATHIL PALLI, LAKSHDWEEP",Lakshadweep,29.9,6.6,7.2,1727.0,2.4,0.0,1333.0,8909.0,95.00297652173913,0
67,1595.0,"WELL NEAR CHEKKILLAM HOUSE, LAKSHDWEEP",Lakshadweep,29.7,6.6,7.2,777.0,2.4,0.0,25857.0,37250.0,643.0093965217392,0
69,1598.0,"WELL C/O PUTHIYA PALLI., LAKSHDWEEP",Lakshadweep,30.0,6.6,7.3,768.0,2.4,0.0,5952.0,67533.0,211.50517652173914,0
70,1599.0,"WELL C/O PURATHA PALLI, LAKSHDWEEP",Lakshadweep,29.7,6.6,7.1,810.0,2.4,0.0,1000.0,32000.0,90.78595652173912,0
71,1600.0,WELL C/O ANDAM PALLILAKSHDWEEP,Lakshadweep,30.1,6.6,7.0,937.0,2.4,0.0,1289.0,26864.0,94.33487652173912,0
72,1601.0,WELL C/O CIRCUIT HOUSELAKSHDWEEP,Lakshadweep,29.8,6.6,7.2,2012.0,2.4,0.0,9000.0,145773.0,294.61645652173917,0
73,1602.0,"WELL C/O GOVT. PRESS, LAKSHDWEEP",Lakshadweep,29.3,6.6,7.3,1645.0,2.4,0.0,4000.0,25250.0,159.25665652173913,0
74,1603.0,"WELL C/O OLD POLICE BARRACKS, LAKSHDWEEP",Lakshadweep,29.5,6.6,7.2,2842.0,2.4,0.0,8500.0,60333.0,264.9522565217392,0
75,1605.0,"WELL NEAR HALIPAD, LAKSHDWEEP",Lakshadweep,29.6,6.6,7.3,1254.0,2.4,0.0,6500.0,241873.0,262.07769652173914,0
76,1606.0,"PUBLIC WELL OPPOSITE S.B.SCHOOL, LAKSHDWEEP",Lakshadweep,29.9,6.6,7.3,902.0,2.4,0.0,3000.0,77692.0,148.53043652173915,0
77,1397.0,"WELL AT MUTHIALPET AREA(I), PONDICHERRY",PONDICHERRY,30.3,6.6,7.4,3320.0,2.4,0.4,120.0,554.17,70.22380725507247,1
78,1398.0,"WELL AT THENGAITHITTU AREA, (II) PONDICHERRY",PONDICHERRY,30.7,6.6,7.4,1460.0,2.4,0.1,120.0,554.17,69.78180725507245,1
79,1453.0,"WELL AT MUTHARAPLATYAM (PWD), PONDICHERRY",PONDICHERRY,30.7,6.6,7.3,597.0,2.4,4.7,120.0,554.17,68.3588805884058,1
80,1454.0,"WELL AT KALAPET, PONDI. UNIVER. ADMN. BLOCK, PONDICHERRY",PONDICHERRY,30.0,6.6,7.1,207.0,2.4,1.2,120.0,554.17,64.41841392173913,1
81,1687.0,"NEHRU STATUE, PONDICHERRY",PONDICHERRY,30.0,6.6,7.2,1795.0,2.4,0.9,120.0,554.17,66.47097392173913,1
82,1688.0,"KATTERIKUPPAM, PODICHERRY",PONDICHERRY,30.0,6.6,7.5,549.0,2.4,0.5,120.0,554.17,71.3611205884058,1
83,1689.0,"CHUNMBAR RIVER, PONDICHERRY",PONDICHERRY,29.3,6.6,8.1,1193.0,6.3,0.0,120.0,554.17,116.38693392173913,0
84,2009.0,KURUMBAPET,PONDICHERRY,30.7,6.6,7.5,550.0,2.4,5.5,120.0,554.17,71.90800725507246,1
85,2010.0,METTUPALAYAM,PONDICHERRY,32.0,6.6,7.6,1248.0,2.4,0.6,120.0,554.17,73.26183392173914,1
86,2011.0,URUVAIYAR,PONDICHERRY,32.0,6.6,7.5,3207.0,2.4,0.0,120.0,554.17,71.89121392173912,1
87,2012.0,KARUVADIKUPPAM,PONDICHERRY,31.3,6.6,7.5,1597.0,2.4,0.6,120.0,554.17,71.60261392173913,1
88,2013.0,"T.R.PATTINAM, KARAIKAL",PONDICHERRY,27.5,6.6,7.5,1719.0,1.0,1.0,120.0,554.17,59.28038725507246,1
89,2014.0,"VADAMATTAM, KARAIKAL",PONDICHERRY,28.2,6.6,7.4,1514.0,2.4,0.8,120.0,554.17,69.87022058840581,1
90,2446.0,PALLUR,PONDICHERRY,32.0,6.6,6.7,255.0,2.4,5.8,120.0,554.17,57.987907255072464,1
91,2447.0,PANTHAKKAL,PONDICHERRY,32.0,6.6,6.8,126.0,2.4,1.6,120.0,554.17,59.23632725507247,1
92,1736.0,"GROUND WATER QUALITY STATION SARDARNAGAR, U.P",Uttar Pradesh,23.0,6.6,6.9,1058.0,5.1,4.0,90.0,195.0,84.59814985507248,0
93,1737.0,"GROUND WATER QUALITY STATION CAPTANGANJ, U.P",Uttar Pradesh,22.5,6.6,6.9,765.0,3.5,2.9,35.0,70.0,69.00722318840579,1
94,1738.0,"SITE 1, INDUSTRIAL AREA NEAR M/S WOODWARM CHEMICAL LTD., UNNAO, U.P",Uttar Pradesh,26.0,6.6,7.7,674.0,2.4,0.0,120.0,554.17,74.80595392173913,1
95,1739.0,"SITE 2, INDUSTRIAL AREA NEAR M/S AMIN SONS, UNNAO, U.P",Uttar Pradesh,26.0,6.6,7.4,2987.0,2.4,0.0,120.0,554.17,70.10681392173913,1
96,1740.0,"AT ROADWAYS BUS STATION, UNNAO, U.P",Uttar Pradesh,26.0,6.6,7.3,2940.0,2.4,0.0,120.0,554.17,68.36047392173913,1
97,1741.0,"MAGAWARA INDUSTRIAL AREA NEAR M/S JAMJAM TANNERS, UNNAO, U.P",Uttar Pradesh,26.0,6.6,7.5,1202.0,2.4,0.0,120.0,554.17,71.45011392173913,1
98,1742.0,"Handpump near India Pesticide Ltd., Chinhat ind Area",Uttar Pradesh,25.4,6.6,7.2,613.0,0.1,0.2,120.0,554.17,45.7748005884058,2
99,1744.0,"JAJMAU INDUSTRIAL AREA NO. 6 KANPUR, U.P",Uttar Pradesh,29.0,6.6,6.9,3923.0,2.4,3.9,120.0,554.17,62.05913392173913,1
100,1745.0,"PANKI INDUSTRIAL AREA NEAR INDUSTRY OF AMMONIA FERTIZER KANPUR, U.P",Uttar Pradesh,29.0,6.6,7.4,1109.0,2.4,4.2,120.0,554.17,70.15285392173914,1
101,1746.0,Nagar Palika Tube well Sultanpur,Uttar Pradesh,20.7,6.6,7.7,622.0,2.4,0.2,120.0,554.17,74.81638058840579,1
102,1747.0,"India Marka hand pump,Sareny, Raebareli",Uttar Pradesh,21.0,6.6,7.8,732.0,2.4,0.2,120.0,554.17,76.57658058840579,0
103,1749.0,"TUBE WELL AT MEERUT CITY, U.P",Uttar Pradesh,22.0,6.6,7.2,625.0,2.4,0.4,120.0,554.17,66.15890725507246,1
104,1750.0,"TUBE WELL AT BAGPAT CITY, U.P",Uttar Pradesh,22.5,6.6,7.6,700.0,2.4,0.4,120.0,554.17,73.11940725507246,1
105,1752.0,"SAHIBABAD INDUSTRIAL AREA, GHAZIABAD, U.P",Uttar Pradesh,23.3,6.6,6.9,2450.0,2.4,2.6,120.0,554.17,61.5929405884058,1
106,1753.0,"MEERUT ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23.5,6.6,6.7,1812.0,2.3,1.4,120.0,554.17,56.9641805884058,1
107,1754.0,"HAPUR ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23.4,6.6,6.8,1160.0,1.7,2.0,120.0,554.17,53.3111405884058,1
108,1755.0,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,24.0,6.6,6.9,1505.0,2.4,1.1,120.0,554.17,61.2210405884058,1
109,1757.0,"Hand Pump, Mirzapur Industrial area Mirzapur",Uttar Pradesh,23.4,6.6,7.3,1377.0,0.2,4.4,120.0,554.17,49.0232805884058,2
110,1759.0,"IFFCO, PHOOLPUR, ALLAHABAD, U.P",Uttar Pradesh,23.4,6.6,7.2,1286.0,0.3,0.7,120.0,554.17,47.74792725507246,2
111,1760.0,"M/S KANORIA CHEMICAL SONBHADRA, U.P",Uttar Pradesh,23.7,6.6,6.9,1297.0,0.4,5.7,120.0,554.17,43.97421392173913,2
112,1761.0,"TUBE WELL IN SINGRAULI INDUSTRIAL AREA, U.P",Uttar Pradesh,23.4,6.6,7.3,999.0,0.4,0.8,120.0,554.17,50.31692058840579,0
113,1769.0,"Hand Pump, At Industrial Area Naini, Allahabad",Uttar Pradesh,28.9,6.6,7.3,2554.0,0.6,0.7,120.0,554.17,52.41848725507246,1
114,2469.0,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,6.6,7.6,1142.0,0.3,0.0,120.0,554.17,54.58371392173913,1
115,2469.0,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,6.6,7.6,1092.0,0.2,0.8,120.0,554.17,53.774980588405796,1
116,2470.0,"AT INDUSTRIAL AREA, FATEHPUR",Uttar Pradesh,23.4,6.6,7.2,1305.0,0.4,1.9,120.0,554.17,48.768507255072464,2
117,2471.0,"GORAKHPUR INDUSTRIAL DEVELOPMENT AUTHORITY AREA (GIDA), GORAKHPUR",Uttar Pradesh,21.5,6.6,8.0,491.0,2.4,0.4,50.0,105.0,78.37160985507246,0
118,2472.0,"VILLAGE DAURALA, MEERUT",Uttar Pradesh,22.5,6.6,7.6,1010.0,2.4,0.2,120.0,554.17,73.1657405884058,1
119,2473.0,"KHEKRA, BAGHPAT",Uttar Pradesh,20.5,6.6,7.5,460.0,2.4,0.4,120.0,554.17,71.33060725507247,1
120,2474.0,"India Marka hand pump,Unchahar, Raebareli",Uttar Pradesh,20.5,6.6,7.8,697.0,2.4,0.3,120.0,554.17,76.57981392173912,0
121,2475.0,"India Marka hand pump, Ind. Area, Sultanpur Road,Raebareli",Uttar Pradesh,21.5,6.6,8.0,725.0,2.4,0.4,120.0,554.17,80.06890725507246,0
122,2477.0,NEAR ARYA KANYA INTER COLLEGE. JALAUN,Uttar Pradesh,26.2,6.6,7.6,1382.0,2.4,0.0,0.0,0.0,70.45179652173913,1
123,2478.0,"Handpump near Uptron Police Chowki Dewa road,",Uttar Pradesh,25.4,6.6,7.4,560.0,0.3,0.2,120.0,554.17,51.0055405884058,1
124,2480.0,"NEAR BRAHMAN MAJRA, PILKHANI",Uttar Pradesh,20.0,6.6,7.5,380.0,2.4,0.0,120.0,554.17,71.26927392173913,1
125,2267.0,"CREEK AT DANDO MOLLO,VELSAO, MAMUGAO",GOA,30.22,6.5,6.74,124.69,1.62,10.17,4442.0,9886.67,150.27730267826087,0
126,2081.0,AMLAKHADI CREEK AT PUNGAM.,GUJARAT,30.5,1.99,7.74,3164.58,32.31,3.44,2592.5,15173.3,421.224275484058,0
127,2793.0,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",MAHARASHTRA,28.25,3.43,7.41,16482.9,21.61,1.91,525.0,827.08,267.7662553101449,0
128,2791.0,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",MAHARASHTRA,27.73,4.53,7.17,5798.36,18.55,1.92,478.55,723.64,227.82197152173916,0
129,2792.0,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",MAHARASHTRA,28.08,4.65,7.52,21734.8,11.48,2.39,324.17,653.75,170.86725684057967,0
130,2794.0,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",MAHARASHTRA,28.5,5.4,7.37,17271.6,9.5,2.23,188.08,428.75,143.07165833333332,0
131,2795.0,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",MAHARASHTRA,28.42,4.88,7.59,24135.6,10.08,2.03,178.33,437.92,155.8014262405797,0
132,2800.0,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",MAHARASHTRA,27.58,4.88,7.88,10203.7,8.68,3.49,336.67,498.33,149.05023910724637,0
