STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col,DO
1533.0,"*DIGBOI, TINSUKIA DISTT.,  ASSAM",Assam,23.5,6.5,748.0,1.4,7.0,18.0,12000.0,
1534.0,"*KARBI  ANGLONG DISTT., ASSAM",Assam,23.5,6.4,338.0,1.1,0.7,75.0,5500.0,
1535.0,"*SIBSAGAR , ASSAM",Assam,24.5,7.0,333.0,1.4,0.5,0.0,91.0,
1536.0,"*SIBSAGAR, ASSAM",Assam,22.5,5.7,791.0,1.9,0.3,0.0,46.0,
1537.0,"*(JORHAT, ASSAM",Assam,24.5,7.0,510.0,2.2,3.1,54.0,3350.0,
1538.0,"*SILCHAR, ASSAM",Assam,22.0,5.1,125.0,0.7,3.7,18.0,2300.0,
1539.0,"*BARPETA, ASSAM",Assam,27.5,6.8,599.0,2.0,1.5,0.0,0.0,
1540.0,"*BONAIGAON, ASSAM",Assam,27.5,5.9,446.0,1.1,0.3,0.0,0.0,
1541.0,"*GUWAHATI, ASSAM",Assam,23.0,6.4,1048.0,2.4,9.8,120.0,12115.0,
1542.0,"*GUWAHATI, ASSAM",Assam,25.0,6.9,716.0,1.5,0.9,18.0,46.0,
2243.0,"GROUND WATER FROM LEDO, MARGHERITA",Assam,23.0,5.7,591.0,0.8,8.3,0.0,0.0,
2244.0,GROUND WATER FROM NAZIRA,Assam,23.0,6.6,562.0,1.1,3.6,4650.0,4669.0,
2245.0,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,26.5,5.7,248.0,1.0,2.5,230.0,966.0,
2246.0,GROUND WATER FROM SEMENCHAPARI,Assam,21.0,6.6,544.0,0.8,0.1,0.0,0.0,
2247.0,GROUND WATER FROM SILAPATHAR,Assam,21.0,6.2,649.0,0.5,3.3,0.0,18.0,
2248.0,GROUND WATER FROM LAKHIMPUR TOWN,Assam,26.0,6.6,817.0,2.2,5.6,0.0,195.0,
2249.0,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,27.0,6.1,195.0,1.1,1.3,0.0,18.0,
2250.0,GROUND WATER FROM NAGAON (PANIGAON),Assam,28.5,6.6,475.0,0.6,1.6,0.0,0.0,
2251.0,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,27.0,6.5,1322.0,2.4,7.3,37.0,5500.0,
2252.0,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24.0,6.4,417.0,1.3,0.1,0.0,0.0,
2253.0,GROUND WATER FROM NALBARI,Assam,25.5,6.9,601.0,1.1,5.5,0.0,0.0,
2254.0,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,28.6,6.9,1038.0,0.3,0.2,465.0,55000.0,
2255.0,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,29.3,6.9,747.0,0.8,6.1,0.0,2300.0,
2256.0,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,28.5,6.5,515.0,0.6,4.0,46.0,645.0,
2257.0,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,29.1,7.2,883.0,0.9,0.3,1150.0,1196.0,
2258.0,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,30.0,6.6,539.0,0.8,3.0,0.0,1265.0,
2259.0,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,28.5,7.4,1515.0,1.8,1.6,0.0,0.0,
2261.0,GROUND WATER FROM HAFLONG,Assam,16.0,7.1,566.0,2.2,0.2,0.0,75.0,
2262.0,GROUND WATER FROM KARIMGANJ (COLLEGE),Assam,12.0,6.5,330.0,0.9,4.7,0.0,430.0,
2263.0,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,16.5,6.6,363.0,0.5,1.1,0.0,0.0,
2264.0,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,Assam,17.5,6.5,662.0,3.6,2.3,455.0,14640.0,
19.0,"WELL AT ELOOR, KERALA",Kerala,27.5,6.2,159.0,1.0,2.6,150.0,370.0,
22.0,"WELL AT CHUNGAPALLY, KERALA",Kerala,25.0,6.7,114.0,0.4,0.9,184.0,226.0,
35.0,"WELL AT PUNALUR, KERALA",Kerala,24.0,6.0,195.0,0.6,0.8,162.0,270.0,
1581.0,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",Kerala,25.8,6.4,354.0,1.3,1.2,95.0,285.0,
1582.0,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",Kerala,25.8,7.2,160.0,4.0,2.7,69.0,210.0,
1583.0,"KUNDARA, KOLLAM DISTT. , KERALA",Kerala,23.0,4.7,159.0,0.5,0.8,1.0,33.0,
1584.0,"CHERTHALA, ALLEPPY, KERALA",Kerala,28.3,7.7,177.0,0.8,0.0,160.0,245.0,
1585.0,"VYTTILA, ERNAKULAM DISTT. , KERALA",Kerala,28.6,7.7,405.0,3.1,5.2,76.0,455.0,
1586.0,"EDAYAR ERNAKULAM DISTT., KERALA",Kerala,27.8,5.7,328.0,1.0,5.7,7.0,14.0,
1587.0,"KALAMASSERY ERNAKULAM DISTT. , KERALA",Kerala,28.0,6.9,248.0,0.9,8.1,116.0,361.0,
1588.0,"PUNKUNNAM TRISSUR DISTT. , KERALA",KERALA,29.0,7.6,270.0,1.0,1.5,160.0,585.0,
1589.0,"MALAPURAM , KERALA",Kerala,29.3,6.8,285.0,0.6,0.7,2.0,16.0,
1590.0,"MAVOOR, KOZHIKKODE DISTT. , KERALA",Kerala,26.0,6.7,101.0,0.6,1.6,181.0,404.0,
1591.0,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",Kerala,29.0,5.5,99.0,1.0,3.3,2.0,16.0,
1592.0,"PAYYANNUR, KANNUR DISTT. , KERALA",Kerala,28.0,6.6,164.0,1.2,2.3,1.0,18.0,
2308.0,FATHIMAPURAM (CHANGANASSERY),Kerala,28.3,6.5,281.0,0.4,5.6,795.0,1695.0,
2309.0,KAROOR (PALA),Kerala,28.0,5.7,93.0,0.7,2.9,640.0,1250.0,
2310.0,VAIKOM,Kerala,27.5,6.2,157.0,0.5,2.7,655.0,1615.0,
2311.0,VADAVATHOOR (KOTTAYAM),Kerala,27.3,6.2,137.0,0.4,6.8,340.0,605.0,
2313.0,"SARVODAPURAM, ALAPPUZHA",Kerala,28.0,7.8,249.0,1.1,0.0,320.0,505.0,
2314.0,KUREEPUZHA (KOLLAM),Kerala,24.0,6.4,205.0,1.2,2.5,160.0,460.0,
2315.0,K.M.M.L. (KOLLAM),Kerala,24.0,7.9,488.0,1.9,1.7,111.0,267.0,
2316.0,CHELLORA TRENCHING GROUND (KANNUR),Kerala,27.5,5.2,63.0,1.0,1.2,15.0,165.0,
2317.0,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,Kerala,27.5,6.0,313.0,1.0,5.5,2.0,15.0,
2320.0,MANJERI,Kerala,29.0,6.6,237.0,0.5,2.1,11.0,55.0,
2321.0,LALOOR (THRISSUR),Kerala,30.0,6.7,280.0,1.9,4.1,170.0,640.0,
2322.0,OLLUR (THRISSUR),Kerala,29.5,5.2,208.0,53.2,2.3,155.0,505.0,
2323.0,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),Kerala,27.6,5.8,299.0,0.9,5.5,740.0,1065.0,
2324.0,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),Kerala,27.8,7.0,157.0,1.9,0.4,7.0,13.0,
2327.0,KARUKAMANI,Kerala,30.0,7.0,885.0,0.8,1.8,245.0,390.0,
3463.0,"WELL AT VELLIPARAMBA, KOZHEKODE",Kerala,27.5,6.2,105.0,0.6,2.7,180.0,406.0,
3472.0,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",Kerala,29.0,7.6,831.0,0.9,1.8,4.0,7.0,
3474.0,"WELL AT PAYANOOR, KANNUR",Kerala,28.5,7.4,186.0,1.4,2.3,4.0,16.0,
3475.0,"WELL AT KARIMBAM, KANNUR",Kerala,27.0,6.2,110.0,1.0,2.0,0.0,5.0,
1593.0,"WELL NEAR J.B SCHOOL, LAKSHDWEEP",Lakshadweep,30.1,7.3,951.0,,0.0,4000.0,22333.0,
1594.0,"WELL NEAR OTTAVATHIL PALLI, LAKSHDWEEP",Lakshadweep,29.9,7.2,1727.0,,0.0,1333.0,8909.0,
1595.0,"WELL NEAR CHEKKILLAM HOUSE, LAKSHDWEEP",Lakshadweep,29.7,7.2,777.0,,0.0,25857.0,37250.0,
1596.0,"WELL C/O KADAT PALLI, LAKSHDWEEP",Lakshadweep,29.7,61.5,702.0,,0.0,1557.0,24250.0,
,"WELL NEAR BADER PALLI, LAKSHDWEEP",LAKSHADWEEP,29.7,7.4,660.0,,0.0,4116.0,55192.0,
1598.0,"WELL C/O PUTHIYA PALLI., LAKSHDWEEP",Lakshadweep,30.0,7.3,768.0,,0.0,5952.0,67533.0,
1599.0,"WELL C/O PURATHA PALLI, LAKSHDWEEP",Lakshadweep,29.7,7.1,810.0,,0.0,1000.0,32000.0,
1600.0,WELL C/O ANDAM PALLILAKSHDWEEP,Lakshadweep,30.1,7.0,937.0,,0.0,1289.0,26864.0,
1601.0,WELL C/O CIRCUIT HOUSELAKSHDWEEP,Lakshadweep,29.8,7.2,2012.0,,0.0,9000.0,145773.0,
1602.0,"WELL C/O GOVT. PRESS, LAKSHDWEEP",Lakshadweep,29.3,7.3,1645.0,,0.0,4000.0,25250.0,
1603.0,"WELL C/O OLD POLICE BARRACKS, LAKSHDWEEP",Lakshadweep,29.5,7.2,2842.0,,0.0,8500.0,60333.0,
